neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,instant_bookable,bedrooms,bed_type,beds,cleaning_fee,availability_365,guests_included,extra_people,minimum_nights,cancellation_policy,high_end_electronics,smoke_detector,washing_machine,heating,hair_dryer,hangers,tv,kitchen,workspace,internet,price
Roslindale,Apartment,Entire home/apt,3,1.0,f,0.0,Real Bed,2.0,25.0,333,1,25.0,2,flexible,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,109.99999999999997
Roslindale,Condominium,Private room,2,1.0,f,1.0,Pull-out Sofa,1.0,20.0,259,1,15.0,1,flexible,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,64.99999999999997
Roslindale,House,Entire home/apt,7,2.0,f,3.0,Real Bed,3.0,125.0,331,5,25.0,3,strict,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,284.99999999999994
Jamaica Plain,Apartment,Entire home/apt,4,1.0,f,1.0,Real Bed,1.0,125.0,144,4,0.0,3,moderate,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,140.00000000000003
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,10.0,328,1,10.0,2,strict,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,70.00000000000007
Jamaica Plain,House,Private room,2,1.0,f,1.0,Real Bed,1.0,0.0,365,1,20.0,1,flexible,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,94.99999999999999
Jamaica Plain,Bed & Breakfast,Private room,2,1.0,f,1.0,Real Bed,1.0,0.0,0,1,0.0,300,flexible,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,55.00000000000002
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,0.0,301,1,0.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,80.00000000000003
Jamaica Plain,House,Private room,2,1.0,f,1.0,Real Bed,1.0,0.0,109,1,0.0,2,flexible,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,120.00000000000003
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,0.0,0,1,0.0,1,flexible,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,64.99999999999997
Jamaica Plain,Apartment,Private room,4,1.0,f,1.0,Real Bed,2.0,0.0,23,2,20.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,100.00000000000003
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,0.0,43,1,0.0,3,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.99999999999997
Jamaica Plain,House,Private room,1,1.0,f,1.0,Real Bed,1.0,0.0,340,1,0.0,2,flexible,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,60.00000000000001
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,0.0,0,1,0.0,2,flexible,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,63.000000000000036
Jamaica Plain,Townhouse,Private room,2,1.0,f,1.0,Real Bed,1.0,0.0,250,1,0.0,1,flexible,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75.0
Jamaica Plain,House,Private room,2,1.0,f,1.0,Real Bed,1.0,10.0,0,1,25.0,1,strict,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,64.99999999999997
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,0.0,346,1,0.0,1,strict,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,109.99999999999997
Jamaica Plain,House,Private room,2,1.0,t,1.0,Real Bed,1.0,50.0,62,2,25.0,2,strict,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,45.99999999999995
Jamaica Plain,Apartment,Private room,3,1.0,f,1.0,Real Bed,1.0,50.0,0,1,0.0,2,strict,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,75.0
Jamaica Plain,Apartment,Private room,2,1.5,f,1.0,Real Bed,1.0,25.0,0,2,50.0,3,moderate,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,61.99999999999999
Jamaica Plain,Condominium,Private room,2,1.5,f,1.0,Real Bed,1.0,15.0,15,1,12.0,2,flexible,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,69.00000000000003
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,20.0,0,1,15.0,2,moderate,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,69.00000000000003
Jamaica Plain,House,Private room,2,2.0,f,1.0,Real Bed,1.0,50.0,78,1,0.0,1,moderate,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,73.00000000000003
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,0.0,306,1,20.0,2,strict,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,84.99999999999997
